,frequency
mean yeah probably work,6
it will be refreshing,6
resolution,6
resources to,6
do vis vis russia,6
good in the east,6
non quantifiable,6
idk seems like they,6
mind disposing of,6
holding warsaw against any,6
online again,6
sitting around doing nothing,6
re the last person,6
it was really strange,6
no such plans,6
ll see my luck,6
the fall you,6
really stop,6
gonna do you,6
it clear that austria,6
mentor or friend who,6
london they could move,6
overpowered,6
the draw set,6
disband the unit,6
long as russia does,6
of wild,6
one hears from player,6
locks me in moving,6
one im going after,6
one in mao,6
no interest in,6
so be stuck fighting,6
long as you,6
how deep does,6
long but what,6
long but what do,6
page that means rome,6
of all of,6
isn in the,6
it from italy which,6
my gre convoying into,6
really talk to each,6
re semi reasonable about,6
re peaceful,6
room but if you,6
time there,6
if they had built,6
italy build it doesn,6
fight against germany as,6
lines right now and,6
me that the french,6
like close working relationship,6
lined up today,6
italy is dealt with,6
if we keep,6
is it to,6
the idea of lepanto,6
nth or hel,6
soloes even though,6
it wont seem like,6
likely bounce but,6
persuade him to,6
of them if you,6
like what difference,6
mun while you go,6
off your back,6
his own to,6
romania youd,6
his own,6
is going to have,6
is going to build,6
is germany where you,6
italy and see,6
should probably be sleeping,6
italy and have,6
only specific,6
good morning my,6
have england,6
re okay starting conservatively,6
out what to do,6
responding my messages havnt,6
me with his moves,6
to have null value,6
it would instead stab,6
me to stab my,6
looking at things,6
it wouldn,6
nice guy,6
it wouldn commit,6
path of,6
me to get bul,6
them with the fleet,6
so yes lied,6
if that ends with,6
if that happened,6
is regarding italy austria,6
re giving,6
me to attack,6
little frustrated with him,6
is not,6
loosening italy from austria,6
im really excited,6
of france pulling,6
it back anyways,6
kie or den,6
me and the rest,6
others for,6
me and russia are,6
make work,6
mao succeeds boy,6
see told you,6
not interested,6
kick you,6
prefer it stay put,6
not invade any more,6
nation would be,6
in what up with,6
not really experienced at,6
needs to support smyrna,6
screw it,6
same are you still,6
potentially seizing the island,6
grow affectionate after,6
makes me wonder,6
he have anything to,6
helgo,6
played in,6
otherwise it doesnt,6
of it is so,6
least one,6
surprised you,6
english have effectively handed,6
otherwise you ve got,6
or germany in the,6
least right,6
lets me know need,6
on hitting bur right,6
in sweden or sil,6
otherwise we might have,6
help me with,6
interests it is pretty,6
interests it is,6
me as friend on,6
help me take,6
negotiations by promising to,6
on france kind of,6
or have if you,6
start capitalizing,6
sure how,6
may be refocusing west,6
into belgium which means,6
that ska is,6
know austria is apparently,6
gently,6
know that,6
making tough,6
move or,6
maybe not make us,6
know england doesn,6
safe this turn,6
other early will mean,6
know me irl or,6
or somewhere else,6
genuinely feel as though,6
germans,6
that shit,6
on backstabbr,6
or revert,6
said losing,6
in on me,6
on boat,6
of me,6
he is working with,6
getting any vibes,6
possible so don,6
knew you say,6
other over the border,6
moving it,6
of russias supply,6
portugal until the end,6
play online again,6
kind of weird,6
leave themselves vulnerable,6
nations and we probably,6
kind words though think,6
play online,6
nations in,6
folk not great,6
that being the,6
or should we,6
or should start our,6
manpower to take down,6
the time so really,6
making lots of,6
hear your thoughts,6
move con into bul,6
on france then,6
im thinking an army,6
myself from tournament games,6
seems like an excellent,6
moves but,6
myself on three or,6
probably lose ber but,6
please support nrwy,6
our cards right,6
not this turn but,6
into bulgaria,6
moves but that youve,6
plan defend,6
our cards,6
say whatever to,6
that turkey wanted,6
imagine people having life,6
to say on board,6
saying,6
into bulgaria this,6
not that worried,6
happy with where we,6
stalemate before you all,6
gulf of,6
keep denmark,6
our borders,6
me from bur,6
important to,6
of my uncertainty,6
russia confirmed,6
probably means bunch of,6
myself in and,6
south stopped,6
or want,6
in touch though let,6
late start,6
main targets,6
net really saying thats,6
much easier than just,6
give away too much,6
england acted on,6
me ground to take,6
marseilles against,6
main interest here,6
later to be honest,6
russia france getting,6
mostly fleets because breaking,6
with the right,6
that actually not,6
neighbors what would,6
thing to,6
me bit by,6
into berlin,6
here have thought about,6
it critical,5
last season or two,5
he wants to hit,5
ok telling,5
hear but need,5
have the army,5
last thing in the,5
last season what,5
so that they,5
last season it would,5
do vis vis,5
that promised to,5
ll see with russias,5
message back,5
fair we should have,5
moving after,5
mind to keep france,5
spoken,5
german stab,5
how long,5
thinking on,5
straight for them,5
it comes at,5
it worked if,5
heard anything of italy,5
mind if also moved,5
so this must,5
passive,5
holding warsaw against,5
passed and someone disrespected,5
from bel,5
moveset this year,5
ll be around,5
moveset this,5
there limit,5
that cuts any chance,5
gonna actually move,5
he talked into,5
pac man on,5
know that hes,5
reason to drop an,5
portugal,5
leaning,5
it may be wise,5
hope we can both,5
french to,5
have rumania,5
paranoid they ve decided,5
obviously it depends,5
marseille so little,5
going for juggernaut,5
move to livonia or,5
going with,5
going west east,5
point you towards dots,5
par supports channel to,5
stab and,5
not responding my,5
once russia is gone,5
last person,5
message that says,5
least through the end,5
least not going,5
hopefully you understand,5
going to win,5
least that,5
least not going to,5
urging that he,5
labor pain for the,5
messages instead of,5
moves on austria,5
us all have,5
messages in days,5
get my earlier message,5
talked into the triple,5
moves sounds like,5
on an agreement,5
there you ll,5
going to break,5
might lose,5
it stay put,5
the denmark,5
it somewhere then you,5
it frequently goes,5
ll either bounce,5
portugal or what,5
it just the,5
not realizing they were,5
ll give it,5
no you,5
no worries whats going,5
largest only diplomacy,5
move turkey into alb,5
players make,5
start explosively,5
that he should make,5
students feel,5
moves just so can,5
players are,5
obvious it was an,5
ll move back to,5
might be better for,5
of your hair so,5
really the deal you,5
no to 17 17,5
might as well hope,5
french to back off,5
nwy isn,5
offsite,5
it worth italy,5
move as me sending,5
protect warsaw and,5
they won think,5
him on my,5
just between us ok,5
pretty disingenuous on your,5
pretty excellent,5
more risky in mind,5
keep in mind,5
proposal if youre interested,5
pie to happen but,5
offer to disband arm,5
pretty hostile to,5
like me having,5
like me better than,5
more than my,5
haven heard,5
prove,5
pull off super,5
still planning,5
pull that con,5
ok austria is,5
its important that the,5
on the french front,5
keep resisting italy,5
mun den hel kie,5
lets keep this part,5
mun den,5
mun bur,5
pick one,5
its where that stuff,5
keep our options,5
pick up for me,5
ive only,5
nosy at all,5
keep one dot though,5
not going for,5
pretty strong on russias,5
norway let lure him,5
hey russia would,5
somewhere then,5
like austrias,5
still doesn,5
hey sorry ive,5
most units south,5
hey sorry,5
problem,5
hey maybe,5
much so,5
though think you shouldn,5
hes not,5
on moving,5
now haha,5
sorry it supply,5
just look at how,5
those two,5
hey turkey how,5
pitch year,5
plan defend german territory,5
mostly defused,5
sounds about as,5
much shop to,5
just too strong,5
now put,5
promises didn,5
just there to support,5
it can be very,5
just give me second,5
that was,5
proceeds as,5
much do,5
just pushing,5
now can assume,5
like hes trying,5
just guessing,5
move into good,5
on france and,5
move set might,5
goes for the,5
so you can,5
on to open,5
re going,5
italy and,5
generally reluctant,5
italy and an,5
italy and austria at,5
kinda saw that,5
rather focus,5
down all of scandinavia,5
munich plus my fleet,5
moving into rum,5
go tus pie,5
re,5
italy eats me from,5
rather you,5
that can help,5
re keen,5
hold against,5
moving edi,5
mine but if necessary,5
nwy bar sil,5
little unorthodox but,5
it would not,5
so what moves,5
legs out from under,5
path forward than tied,5
so what moves are,5
lemme,5
gets jumped from the,5
so what will,5
hold denmark if,5
north and have my,5
positional gain to be,5
little say on holland,5
rather we target turkey,5
sphere of,5
still trusts you,5
nothing very urgent,5
what are we thinking,5
move munich to ruhr,5
everyone holding still except,5
moving retreating into boh,5
held off,5
he has every reason,5
keeps just yelling at,5
italy vs turkey,5
italy in exchange,5
ok germany has to,5
still want,5
put some thought,5
more because,5
speak in single 10,5
mun this,5
help france,5
nothing else,5
norway and if,5
moving on,5
from under,5
munich is,5
go to alb in,5
not likely to work,5
not likely to,5
off the board,5
have to write by,5
kind of nervous honestly,5
limitation,5
lil pissed at austria,5
italy or just in,5
let,5
getting ganged,5
from this game,5
queen hope you,5
on the table but,5
either goes to black,5
ha its,5
of my counter,5
making it,5
look to be,5
happy with where,5
hatched plan,5
of turkeys territories,5
half confirm,5
maybe just doesnt want,5
descending,5
only half,5
if help you to,5
safe for,5
season yet,5
suppose we ll,5
half of the map,5
russo turkish alliance,5
good on paper at,5
opinion but dont,5
me to nao,5
never specified to france,5
ruin the entire,5
into bul but very,5
shown myself to,5
rest of their,5
shown myself,5
to move the,5
in mao and,5
shown,5
me much more keen,5
in london they,5
the timing,5
maybe it,5
russia is very weak,5
since going,5
resources to also head,5
the stalemate lines because,5
opt for western,5
never heard from,5
im able to in,5
may have to,5
opposed but,5
said no to 17,5
the west was,5
ion eas which will,5
resolving in the,5
focused on,5
resources,5
of favors for,5
my suggestion offered,5
look out,5
the lepanto,5
myself in and if,5
the west this,5
said losing one,5
of builds to,5
into fight with,5
opinions and suggestions to,5
of bur,5
mean good on france,5
maybe by building fleet,5
of me actually,5
of pressure off my,5
guarantee that,5
low,5
making,5
look at,5
seem too inclined to,5
to me without me,5
is it better for,5
support in bel is,5
if you will commit,5
ruh currently,5
love for you,5
of speaking,5
of curiosity how is,5
me and russia to,5
in belgium and,5
happily support him to,5
